(0.23583247756933395,0.7516760573268807)
(1e-09,1.043296096364144)
(1e-09,1.0278393344037964)
(0.10510249197076695,0.8583192101316228)
(0.11320132305632422,0.8906217639377705)
(0.11689959780130545,0.8973782617417301)
(0.16654642034755557,0.846394840896232)
(0.21191958980169426,0.7906203412863794)
(0.0847882010989687,0.8804446450412162)
(0.24571427067831117,0.7755925316749702)
(0.13053136577987454,0.8477971341421796)
(0.2043486340802355,0.7968374111671004)
(0.22796352495185299,0.7800153516826186)
(0.13772032304528112,0.8646843541660271)
(0.3980976121184616,0.637793933128173)
(0.22256324272278863,0.8053217929458253)
(0.06687372934588957,0.9229866695554488)
(0.12780693520021447,0.8694150706197791)
(0.1502034041722354,0.8669535738258745)
(0.21720237150231994,0.7942361926937311)
(1e-09,1.0585025551988312)
(0.1488634651637231,0.8731138270421174)
(0.24439859940291744,0.7596110222031752)
(0.18523302061460753,0.8309357331950569)
(0.238778400382237,0.7680026082112925)
(1e-09,1.0730768881554473)
(0.20206965497590007,0.8073869927959288)
(0.05111200514913913,0.9606174098367753)
(0.29857846462832,0.7026554010292468)
(1e-09,1.0075830497569103)
(0.12378172654453565,0.8920116699926878)
(1e-09,1.035984736298259)
(0.14767668695445502,0.8700871385682468)
(0.18337013646484196,0.8381853043477031)
(0.19209113547919268,0.7994068541723995)
(1e-09,1.0837154166388314)
(1e-09,1.0677693312014398)
(0.2038013688312503,0.7776135900962335)
(0.20720567000012668,0.7845207297137685)
(0.14465993837839614,0.846478125088201)
(0.013075797996686327,0.9689417628802847)
(0.09334158720050985,0.9113704169995953)
(0.12449226477751844,0.8467959341430551)
(1e-09,1.0946628614106924)
(0.04391518627682757,0.954124306003283)
(0.13712880440477412,0.8501252898189756)
(0.10042739694277829,0.9143555027323703)
(0.13395458662380594,0.8769838727461032)
(0.09386855036530599,0.9135438715607509)
(0.08985820939605624,0.914430592702884)
(0.055906059180572176,0.9300003940560813)
(0.1627204987516412,0.8276965760877482)
(0.22408236892169922,0.7716541441668237)
(0.16100789485196537,0.8265538496790593)
(0.11162798834217079,0.8815860242118668)
(0.14052859081439079,0.8523629033706231)
(1e-09,1.0222710269483246)
(0.08251175856721601,0.9246935268577093)
(0.10525302221714535,0.9082552635394764)
(0.02976358888947078,0.96611275696118)
(0.03813798442831262,0.9909583554205692)
(0.19638296264384905,0.7804145197383237)
(0.1703558910011314,0.8213521435108101)
(0.1796680231871444,0.8256694054984621)
(0.1213636134544085,0.8547163287642577)
(0.0029094026537648454,0.9577430328122749)
(0.14813728187020486,0.8397046125883071)
(0.07621700364319468,0.9306722763048723)
(0.03913777202665948,0.9409301624933198)
(1e-09,1.0784071468022012)
(0.16513126229025998,0.8528695941479577)
(1e-09,1.0303909004447283)
(0.2049427901350624,0.8205782221598363)
(0.1829211832473642,0.8458986662951774)
(0.012564001132368255,0.9794508889908887)
(1e-09,1.0586490986199084)
(0.0709051604921683,0.9454948348587883)
(0.21409468064004575,0.7891884328912245)
(0.15951571562685418,0.8182800733846645)
(0.14705330610134473,0.8285811047598337)
(0.14286051896645724,0.8608881500426736)
(0.260024969207955,0.7272413237736839)
(0.07846608836658665,0.9386430109439559)
(0.0826013057058996,0.9064727795000348)
(1e-09,1.1362904134174423)
(0.08411835735502486,0.9417392004575806)
(0.09394896547571462,0.8858224317962374)
(0.10684343665586826,0.9165592562420635)
(0.19864529171484868,0.8104595609513963)
(0.10845124277182912,0.9259156912330889)
(0.05991270558422115,0.9278757057600856)
(0.06866391135685722,0.9107939272505963)
(0.05124785048344239,0.9535563506295862)
(0.08167011390829404,0.8950480317805606)
(1e-09,1.0966767163779734)
(0.04287803681830548,0.9562361436626436)
(0.07573302462201181,0.9058352565186244)
(0.238466077245199,0.7727100493686548)
