(0.18604037064872564,0.5749289604521818,0.23673225567194003)
(0.20598590944973597,0.5030332215147658,0.2752584043726166)
(0.20407341142024704,0.4147053281743974,0.3739829001714924)
(0.2166309418838041,0.46859794863746557,0.3339078121898171)
(0.20691041020798986,0.6429756249295064,0.1724310169793478)
(0.1554779075584013,0.8468009251641129,-0.011127864755805924)
(0.1978219500958438,0.602326666141602,0.2019723508712669)
(0.19950767256943333,0.8002984099754381,0.007553353263162042)
(0.20746238496771205,0.42329970092760744,0.3676952658924712)
(0.25736023828579985,0.5988093812884886,0.1361837701469741)
(0.16137575011915445,0.5142313198860913,0.3149204451615033)
(0.19001180795050182,0.5660876692357748,0.25015577311030285)
(0.20347653330641727,0.44299569116076065,0.3505674148033671)
(0.20913235163505672,0.4807824682850232,0.3239787286391124)
(0.21962965824180405,0.698587031869455,0.1040909144438894)
(0.212438131823676,0.31306495967712655,0.47118886439266816)
(0.22123014710305972,0.35096959515148196,0.44907292958075756)
(0.1847040250043141,1.014768301630621,-0.19556567507446249)
(0.19947893643826597,0.46807595203553015,0.3262345465346358)
(0.21440921936983312,0.42312932060340763,0.36150656184491214)
(0.22335729787599587,0.6523372424390929,0.11701936335727886)
(0.24459460280462947,0.5367521106717484,0.1964803171641359)
(0.21599471206616463,0.3655071849720636,0.40059045945787863)
(0.19960157157718394,0.23951558582580407,0.5770357567062427)
(0.13683320367251503,0.6278945536927519,0.21751973204536304)
(0.1617070178032933,0.5414382125195951,0.2747650504584675)
(0.20604507300259392,0.7681396653707931,0.03471472881112751)
(0.21600186702962654,0.6632367695196258,0.12799087032310355)
(0.20733287670618145,0.6361779403638387,0.13386016348281374)
(0.23387076516781274,0.5557774742694217,0.19283429136054447)
(0.21387696400227188,0.577241148320976,0.21869553616163118)
(0.22836649123500774,0.49893479950109987,0.29450738162230233)
(0.1900205378254763,0.22109340470198316,0.5681391805244908)
(0.23567213932080527,0.6029908029416242,0.17117323471914903)
(0.2171307302048893,0.5461650700389575,0.24808634253925213)
(0.17122296302065731,0.9429347570794964,-0.10583056701655294)
(0.18596216739087557,0.41025743037842305,0.4032183471297882)
(0.21582500107084598,0.8541535589049256,-0.05699848111408216)
(0.18638293673099776,0.4682755162523837,0.3431753813426883)
(0.16947232280698757,0.7778102512320775,0.030662322850555288)
(0.15085603441364331,0.3199695620516468,0.5144650052090687)
(0.1965643078727157,0.5792818086614433,0.23670764743834294)
(0.2147558543190706,0.2882696968810593,0.5089740202547441)
(0.22276474443291322,0.43446799233260197,0.3576488806314294)
(0.15520248468233658,0.6080101666226022,0.18328052713867138)
(0.18313955915294525,0.34184549231813477,0.45697497710481705)
(0.1843301780951699,0.3544113794286219,0.4507542483938715)
(0.18747642964538275,0.20372051113234368,0.6285660160561063)
(0.2508099752694841,0.6394032664034305,0.11343468970122975)
(0.18840759412883695,0.4480550846023062,0.3604633783156056)
(0.16253199648139663,0.3842020189141112,0.43833446462646863)
(0.18608861332176338,0.4989439787161842,0.30544681934230455)
(0.15981625522731516,0.49274665379111204,0.35639914050300336)
(0.24342966634274607,0.28525717440454407,0.48965572476494384)
(0.24654011449492802,0.645198073776979,0.11834176192058564)
(0.2027252751700936,0.525804205047678,0.2811617463668765)
(0.18832001125257303,0.5263725126664573,0.28212941880678927)
(0.22318655797002382,0.37281748309137824,0.38992183653169943)
(0.1844312174752793,0.6310248967961428,0.20977175313852878)
(0.28874105519943594,0.3448594080438279,0.3624062908741957)
(0.2351196824019823,0.4762172017705476,0.28883365472727274)
(0.19469085170345846,0.45845128501339677,0.3579499811546282)
(0.2098122581192795,0.36479242317471977,0.43815649146085806)
(0.18152052515087388,0.705145815019029,0.111484128843542)
(0.20079667625569594,0.6094955780146926,0.20213031669451245)
(0.18702307279107552,0.797926293009499,0.021387870978803295)
(0.22913936727028741,0.6921630353689173,0.09226122452871749)
(0.1890082363522057,0.73629600474434,0.07726419957633758)
(0.19593063500712868,0.7434629627105922,0.05716793798384093)
(0.21446823411445884,0.6621075769255341,0.11762179629207961)
(0.26505433031386527,0.505944185122515,0.22099377166641007)
(0.20412205791998225,0.6047634584406569,0.20563460308710735)
(0.19167685902638779,0.49895734465004293,0.2936900942059805)
(0.19628266518948811,0.2424112797399169,0.5642685553292371)
(0.1787558087223053,0.33063163221216774,0.4854957124086096)
(0.2228223197809927,0.5699261454039081,0.1942786131219869)
(0.18274892620246977,0.367348516929152,0.4214916861793717)
(0.18545213506094352,0.40673554451620364,0.4109026265848503)
(0.2718167252193221,0.5387569253582545,0.19848471172643747)
(0.15704922321399403,0.4703276470043238,0.35236461066949687)
(0.2014763759356148,0.9215483693428631,-0.12742694562668086)
(0.19702073625408734,0.7242864141729504,0.054628149397058595)
(0.16833825624301166,0.3370107816229852,0.46994874886029264)
(0.17428453555444953,0.4921810136511629,0.3147716821906481)
(0.176578943904045,0.5040683668447954,0.31260325762509883)
(0.21422804967853615,0.7107471073825886,0.08075116039132156)
(0.22162902421538822,0.30536126855574797,0.47999198122187897)
(0.20694947556183793,0.9099709595991321,-0.10996616045221172)
(0.2493298557163449,0.46930774759006627,0.3029895983633578)
(0.23530513480705925,0.20523246679553475,0.5908494915950916)
(0.1795181046089775,0.49643967598908645,0.29938915669235433)
(0.23924167932868107,0.31274937510439227,0.47550256734451934)
(0.2509611723318639,0.5345407906581455,0.2036088039294494)
(0.18648411561139933,0.7968241215844889,0.04068728999490639)
(0.2691261553839806,0.4762339904876408,0.25697986910773607)
(0.19932831456934078,0.5508485094583211,0.25807556382451763)
(0.24359811817975013,0.5845108605676536,0.1847166204416129)
(0.26607833486567467,0.640604327302808,0.12238424794570055)
(0.22676436601664357,0.4792092354097419,0.2968716331499084)
(0.19091937509235576,0.711233853077957,0.10197562222989427)
(0.23357893771057486,0.6412581300115031,0.1572878421734217)
(0.20586748589107776,0.5407429017258519,0.24703441256362965)
(0.2568044207420365,0.9357687061680685,-0.16100197004779587)
(0.2779539539054802,0.5102997443703525,0.23751474880469756)
(0.1959303883091942,0.27157553725251965,0.5374093784582743)
(0.2189896058997119,1.0507147315887293,-0.2677549715757595)
(0.2096969429599463,0.6994845129510324,0.0914541937327981)
(0.2686484274282557,0.5358087422456033,0.22530648193991828)
(0.20924436767314317,0.7625510451535623,0.0345474354221524)
(0.22225118246769243,0.3957697026054131,0.4041182081123178)
(0.22008204741120826,0.21643560144536694,0.5560989499951885)
(0.20384712868247162,0.44962179600045016,0.3356896831211671)
