(0.3206039517496477,0.6744285301575448)
(0.25134908630307967,0.748033244257432)
(0.13728197039736661,0.8789930748810746)
(0.07907460001393632,0.9152620213322177)
(-0.03782213067419818,1.0552994143316177)
(0.15635903604327991,0.8367812281425083)
(-0.2180223513511799,1.216219205041823)
(0.07061588987801987,0.9093610480657716)
(0.10642435323960256,0.9015049398128391)
(-0.09784973448377172,1.0917094326299528)
(-0.14206155167870094,1.1596712807014007)
(-0.0027821556116342443,0.9903949851546606)
(0.1004170302622179,0.8867305411307004)
(0.03814682862272287,0.9744184204433368)
(-0.012824923218478135,1.0084567780364844)
(-0.0871821918230881,1.0775384365578595)
(-0.1289741822030505,1.119988659620886)
(0.1904264279489105,0.8142816239623348)
(0.03463316539964024,0.9677601079625107)
(0.1286498219746292,0.860469105850014)
(0.03932041259365109,0.9584169849785853)
(0.05061324647839267,0.9506771145986191)
(-0.06627265005114695,1.0654782165641978)
(0.06407370704423326,0.9255723396561001)
(0.2486816469209563,0.7620668332126365)
(0.21995055982738157,0.7920080815079744)
(0.12641471553124567,0.8746451018470803)
(0.03505201550948727,0.9647341977670325)
(0.0635020944834756,0.9471470645799226)
(0.08429993804153318,0.9052058677092746)
(-0.001044903827623587,0.9921270985817956)
(0.1983825860689401,0.7816918039876106)
(0.05675885271430465,0.9443239797925036)
(0.19114483546902575,0.7984184111115017)
(0.21907448723893122,0.7858584143311246)
(0.02514053996227666,0.9694978685255432)
(0.14186000137400345,0.8589850980905428)
(0.04830409628409411,0.9515680164957286)
(0.016658121682345223,0.9939256502177319)
(-0.08814822391921386,1.102415698189865)
(0.1316585908897046,0.8471423899690861)
(0.06855948404719257,0.9151985547329375)
(0.19160595639099653,0.8154418818104787)
(0.03542316625559371,0.9499073647389319)
(0.09255829252113625,0.8981533802449332)
(0.18159169758667115,0.8134888792689103)
(0.005237334269095074,0.9969833748213076)
(0.23572852075082304,0.7509581465359585)
(0.2982244295770678,0.705288226602161)
(0.026700176516907623,0.9617087268530002)
(-0.07341571602168119,1.0692393192538756)
(-0.08765606735728355,1.0748462156998149)
(0.18174574411594707,0.8068968105769615)
(-0.05236583987747206,1.0463689825018765)
(0.03906040854410835,0.9580624922575898)
(0.010762132125271476,0.9867213891173077)
(-0.08033080752073338,1.0825306388024043)
(0.07665351363434902,0.925062322155368)
(0.008333783361930082,0.9818899164395368)
(0.14934294850045024,0.8564707553873953)
(0.14665428494650132,0.8614604392691387)
(0.07737246557305039,0.9421831088997362)
(0.3133690139607507,0.6736438935828868)
(0.027982289246290454,0.9602947092291017)
(0.27413079510508664,0.7325498229114032)
(0.30694625876994913,0.7080060430522342)
(0.07179556600414404,0.9213718866859613)
(0.27495571423547127,0.7204919852222146)
(0.028678890678153213,0.9778754953613784)
(0.1278972906886907,0.8729567618499362)
(-0.16479534009607386,1.1646838407096376)
(0.2840479730767147,0.7282127080020274)
(0.11839958870668706,0.871262004724541)
(0.31580047459321775,0.6867850738811403)
(0.12310110421123827,0.868786769810515)
(-0.10678318698986758,1.1146651150516758)
(-0.08713473663470861,1.0954390077484244)
(0.0864656691526386,0.9155111457265371)
(0.15771829743643545,0.8277414857579697)
(-0.012567254771068091,1.033395639543107)
(-0.00792045503506827,0.9966467019623375)
(-0.04966161011009297,1.0564904586447235)
(0.13197092993611453,0.882749579248307)
(0.11588326285475893,0.8924530675994212)
(-0.1442101286338082,1.1451366932646805)
(0.08851395428374088,0.9137250680377789)
(-0.17115722493982602,1.1724609127069585)
(0.1272273528880094,0.8840849830715213)
(0.11148961269324191,0.8926025907058635)
(0.000761514023159689,1.0051844735046096)
(-0.09500448246787674,1.0989230918227788)
(0.12190011945783309,0.8679225545197733)
(0.0831588230264421,0.9385683604408189)
(0.23604729377989253,0.7607064120500339)
(0.08965811865732798,0.9163463548313896)
(0.07397524333084897,0.9325474672686115)
(-0.17459885544228057,1.1752386625785047)
(-0.14799472844290235,1.1441989518890916)
(0.05361497617104484,0.9479707648786295)
(0.07687590617193377,0.9227107768311696)
(0.050698255142775324,0.9524776405552683)
(-0.0043833527899086846,0.9950715458054362)
(-0.1253544528763402,1.123276497749127)
(-0.025851131898002554,1.0284668079151755)
(0.042578865079677335,0.9429826704035766)
(0.1903380577932032,0.8210329627345597)
(0.012707665135929346,0.9666616668322018)
(0.1326990463609813,0.8792217682816489)
(0.15676301669233803,0.8514383092632694)
(0.006569833235426761,0.9963422171492758)
(-0.04420728904179114,1.044612313372132)
(0.05828139033700468,0.9396025286558113)
(-0.07401444060256152,1.091508466444187)
(-0.057312672322123434,1.0595250466159465)
(0.05075201196116074,0.9525632627104876)
(0.17283733878480192,0.8234516247690798)
(0.09890957670788578,0.882968944501439)
(0.018321623174143407,0.9892868564159594)
(0.2784244506872546,0.7151053422289675)
(-0.12838974125369115,1.134102768632061)
(-0.021594779453991072,1.0183063612904923)
(0.15375539781537859,0.8349468792654914)
(0.10502320877298975,0.9006257981101361)
(-0.016322503382918588,1.0111975939245144)
(0.07775347172361344,0.9233545277113733)
(-0.0746793070088039,1.063536228955464)
(-0.03283178650573357,1.0241478579763184)
(-0.16336129772759395,1.155910809375901)
