(0.10117094428736968,0.8979552236470032)
(0.06478259371653274,0.9334665948424838)
(-0.028034948052277173,1.0171935458623649)
(-0.002688137124165078,0.9983486490838086)
(0.06861562843163097,0.9266200566955679)
(0.06027605773485123,0.9474217964299205)
(0.07592787681184414,0.9260936405839433)
(-0.06227710205506233,1.064708029236264)
(-0.049672720233683,1.044981715666379)
(0.08124303093712636,0.9125411611856119)
(0.10170988169750698,0.9074190507034833)
(0.17123326574903125,0.8341529647240874)
(-0.0029673657032770937,0.9917391298084038)
(-0.0008709436590183696,0.9999321995722631)
(0.13334159163172646,0.8678126122634982)
(0.06771355917078478,0.9335618950872857)
(0.009004211382934035,0.9896855233264195)
(0.11521372277618411,0.8928266951806715)
(0.10979404508523606,0.8923343895890555)
(-0.04197078033884253,1.0403766395247136)
(0.09629988758103289,0.9004517902999861)
(0.21221660618800112,0.784059434633328)
(0.08485984946991473,0.9120936373070851)
(0.08507254868600381,0.9146561630175517)
(0.15620735601024682,0.8442868071051994)
(0.046287613877708966,0.9539727154220269)
(0.012666942484391628,0.9814787500470352)
(-0.016459616870478026,1.0211741215478722)
(-0.0023939043682299306,1.0054695263886053)
(0.0817104953705334,0.924392861849629)
(0.04114303245497784,0.9553723146328513)
(-0.08349281589206096,1.0793461051935307)
(0.09594444199519922,0.9110408807602163)
(0.027421274027809167,0.9699741064831028)
(0.00331149634731827,0.9902915865972409)
(-0.01839102197559383,1.0117242361724212)
(0.04970115582174766,0.9511265261794293)
(0.12329694359436723,0.8770623073662134)
(0.07163030604057358,0.9266841400316101)
(-0.015924145984610723,1.0262621015043827)
(-0.008906978314648836,1.0044611907813927)
(0.09501860123216654,0.9006108762518709)
(0.14465199672343176,0.8589819331270149)
(0.07057291209623894,0.9234569513547496)
(0.08344703777210771,0.9168569756603246)
(0.040561636459014117,0.9621865134345302)
(-0.02498934506186834,1.0187538312578315)
(0.021236310951649098,0.9827111115473957)
(0.08009892568944083,0.9243830389499941)
(0.09604073199110028,0.891161182355175)
(0.10824421385510416,0.8914070559082483)
(0.01142293908858403,0.9850583788374906)
(0.1540825475404013,0.8434516935848516)
(-0.031041772304016065,1.0307396694120292)
(0.11567374238973259,0.876318418428471)
(0.0670446411039643,0.9333833229004315)
(0.12807939023780898,0.866223947100779)
(0.02532282714706744,0.9818628448845945)
(0.05331843701628419,0.9485357269155632)
(-0.05152383770788146,1.0544076589026903)
